local_name,state_name,average_score,lat,lon
 Charleston, SC,3.755480444,32.8137,-79.9643
 Charleston, WV,3.662,32.8137,-79.9643
 Charlotte, NC,3.694528094,42.5662,-84.8304
 Charlottesville, VA,3.81373365,38.0375,-78.4855
 Charlottetown, PE,3.748375451,46.2493,-63.1313
 Chattanooga, TN,3.792566372,35.0657,-85.2488
 Cheney, WA,3.604801325,47.4902,-117.5789
 Cheraw, SC,4.02,34.6962,-79.9029
 Chesapeake, VA,3.854347826,36.6778,-76.3024
 Chester, CHESHIRE,4.5,34.705,-81.2132
 Chester, NH,4.48,34.705,-81.2132
 Chester, PA,3.55310559,34.705,-81.2132
 Chester, VA,3.8,34.705,-81.2132
 Chesterfield, MO,3.964285714,38.6588,-90.5805
 Chestertown, MD,3.89929078,39.2195,-76.071
 Cheyenne, WY,3.774509804,41.1406,-104.7926
 Chicago, IL,3.755294118,41.8373,-87.6861
 Chicago Heights, IL,3.828455285,41.5101,-87.6347
 Chichester, WEST SUSSEX,4.666666667,50.8333,-0.7833
 Chickasha, OK,4.119354839,35.041,-97.9472
 Chico, CA,3.70047619,39.7574,-121.815
 Chicopee, MA,3.7984375,42.1764,-72.5719
 Chicoutimi, QC,3.4078125,48.4333,-71.0667
 Chillicothe, OH,3.933333333,39.7953,-93.5498
 Chula Vista, CA,3.932229796,32.6281,-117.0145
 Cicero, IL,3.830188679,41.8445,-87.7593
 Cincinnati, OH,3.693106704,39.1412,-84.5059
 Circleville, OH,3.712,39.6062,-82.9334
 Claremont, CA,3.886724566,34.1259,-117.7153
 Claremont, NH,4.875,34.1259,-117.7153
 Claremore, OK,3.744512195,36.3144,-95.61
 Clarion, PA,3.600611621,41.2106,-79.3803
 Clarksdale, MS,3.575,34.1971,-90.5729
 Clarkston, GA,3.8125,33.8117,-84.2405
 Clarksville, AR,4.035,38.3223,-85.7673
 Clarksville, TN,3.861294964,38.3223,-85.7673
 Clawson, MI,4.5,42.5367,-83.1504
 Clayton, NC,5,38.6444,-90.3303
 Clearfield, PA,4,41.103,-112.0237
 Clearfield, UT,5,41.103,-112.0237
 Clearwater, FL,4.026923077,27.9786,-82.7622
 Cleburne, TX,3.75,32.3562,-97.4146
 Clemson, SC,3.674827109,34.6838,-82.8124
 Clermont, FL,3.786363636,28.5403,-81.7296
 Cleveland, GA,4.087804878,33.744,-90.7285
 Cleveland, MS,3.744897959,33.744,-90.7285
 Cleveland, OH,3.711423626,33.744,-90.7285
 Cleveland, TN,3.971171171,33.744,-90.7285
 Cleveland, WI,4.16875,33.744,-90.7285
 Clifton, NJ,4.49,33.0249,-109.2883
 Clinton, IA,3.372222222,34.4774,-81.864
 Clinton, MS,3.731538462,34.4774,-81.864
 Clinton, NC,4.313333333,34.4774,-81.864
 Clinton, NY,3.757075472,34.4774,-81.864
 Clinton, SC,3.71954023,34.4774,-81.864
 Cloquet, MN,3.41,46.7221,-92.4923
 Clovis, NM,4.105263158,36.8278,-119.6841
 Clyde, NC,4.303125,41.3046,-82.9782
 Coalinga, CA,4.155172414,36.1432,-120.3266
 Cobleskill, NY,3.761038961,42.6787,-74.486
 Cocoa, FL,3.83,28.3821,-80.7675
 Coconut Creek, FL,3.914285714,26.2803,-80.1842
 Coffeyville, KS,4.183333333,37.052,-95.6178
 Colby, KS,4.354545455,39.3842,-101.0461
 College Park, MD,3.660232945,38.9962,-76.9337
 College Place, WA,3.482051282,46.0431,-118.3869
 College Station, TX,3.741509434,30.5852,-96.296
 Collegedale, TN,3.746491228,35.0521,-85.0488
 Collegeville, MN,3.710704961,40.1873,-75.4581
 Collegeville, PA,3.8,40.1873,-75.4581
 Colorado Springs, CO,3.769957806,38.8674,-104.7606
 Columbia, KY,3.731428571,37.1036,-85.3074
 Columbia, MD,3.791038697,37.1036,-85.3074
 Columbia, MO,3.716712899,37.1036,-85.3074
 Columbia, SC,3.778718817,37.1036,-85.3074
 Columbia, TN,3.709714286,37.1036,-85.3074
 Columbus, GA,3.747611465,33.5088,-88.4097
 Columbus, IN,3.595833333,33.5088,-88.4097
 Columbus, MS,4.042105263,33.5088,-88.4097
 Columbus, NE,3.41875,33.5088,-88.4097
 Columbus, OH,3.774782905,33.5088,-88.4097
 Commerce, TX,3.706236559,34.2129,-83.4729
 Compton, CA,3.910679612,33.893,-118.2275
 Concord, CA,4.04,37.9722,-122.0016
 Concord, NC,3.958823529,37.9722,-122.0016
 Concord, NH,2.961904762,37.9722,-122.0016
 Concord, ON,3.178571429,37.9722,-122.0016
 Concordia, KS,3.8,39.5669,-97.6466
 Conway, AR,3.837802198,33.8404,-79.0419
 Conway, SC,3.815484805,33.8404,-79.0419
 Cookeville, TN,3.707971014,36.1484,-85.5114
 Coolidge, AZ,4.10625,32.9398,-111.526
 Coon Rapids, MN,3.834123223,45.1755,-93.3094
 Coos Bay, OR,3.88245614,43.3789,-124.233
 Coral Gables, FL,3.743780291,25.7037,-80.2715
 Corbin, KY,2.85,36.932,-84.1003
 Corinth, TX,3.819512195,34.9474,-88.5143
 Corner Brook, NL,3.772435897,48.95,-57.9333
 Corning, NY,3.998295455,39.9282,-122.182
 Cornwall, ON,3.828571429,45.0171,-74.7333
 Corpus Christi, TX,3.781161972,27.7173,-97.3822
 Corsicana, TX,3.983333333,32.0821,-96.468
 Cortland, NY,3.686443381,41.3319,-80.7192
 Corvallis, OR,3.589876761,44.5697,-123.278
 Costa Mesa, CA,3.842905122,33.6667,-117.9135
 Cottleville, MO,3.756343284,38.7511,-90.6587
 Council Bluffs, IA,3.769642857,41.2369,-95.8517
 Coventry, WARWICKSHIRE,3.733333333,52.4204,-1.5
 Coventry, WEST MIDLANDS,3.82,52.4204,-1.5
 Covington, GA,3.8,39.0334,-84.5166
 Covington, KY,3.897142857,39.0334,-84.5166
 Covington, LA,5,39.0334,-84.5166
 Craig, CO,4.5,40.517,-107.5558
 Cranbrook, BC,3.838235294,49.5167,-115.7667
 Crawfordsville, IN,3.775,40.0433,-86.8961
 Cresson, PA,4.035416667,40.4626,-78.5866
 Creston, IA,3.8125,41.0597,-94.365
 Crestwood, NY,3.725,38.5569,-90.3783
 Crete, NE,3.747826087,41.4397,-87.6231
 Creve Coeur, MO,3.35,38.6621,-90.443
 Crookston, MN,3.418421053,47.7747,-96.6062
 Crossville, TN,3.941666667,35.9526,-85.0294
 Crown Point, IN,4.275,41.414,-87.3455
 Croydon, SURREY,5,51.3833,-0.1
 Crystal City, VA,4.75,28.6909,-99.8257
 Crystal Lake, IL,3.82751938,42.2334,-88.3352
 Culpeper, VA,3.75,38.4705,-78.0001
 Culver City, CA,3.707349081,34.0058,-118.3968
 Cumberland, KY,4.4,39.6515,-78.7585
 Cumberland, MD,4.029545455,39.6515,-78.7585
 Cumming, GA,3.830434783,34.2066,-84.1337
 Cupertino, CA,3.772793449,37.3168,-122.0465
 Cutler Bay, FL,3,25.5765,-80.3357
 Cypress, CA,3.909537167,33.8171,-118.0386
 Dahlonega, GA,3.728229665,34.5302,-83.9796
 Dallas, NC,3.995070423,44.922,-123.3137
 Dallas, PA,3.77125,44.922,-123.3137
 Dallas, TX,3.825976175,44.922,-123.3137
 Dalton, GA,3.88195122,34.7689,-84.9711
 Danbury, CT,3.703435805,41.4016,-73.471
 Danville, IL,3.741463415,37.642,-84.7769
 Danville, KY,3.7515625,37.642,-84.7769
 Danville, VA,3.989247312,37.642,-84.7769
 Daphne, AL,4.55,30.6291,-87.8872
 Davenport, IA,3.894385965,41.5563,-90.6052
 Davidson, NC,3.860406091,35.4862,-80.8271
 Davie, FL,3.680416667,26.079,-80.287
 Davis, CA,3.696333462,38.5552,-121.7365
 Dawson Creek, BC,4.121428571,55.767,-120.2333
 Dayton, OH,3.742865948,39.1127,-84.4639
 Dayton, TN,3.903703704,39.1127,-84.4639
 Daytona Beach, FL,3.880576021,29.1995,-81.0982
 De Pere, WI,3.850793651,44.4313,-88.0793
 De Queen, AR,3.588888889,34.0426,-94.342
 DeKalb, IL,3.700437227,41.9312,-88.7483
 DeLand, FL,3.912195122,29.0226,-81.2875
 Dearborn, MI,3.732614057,42.3127,-83.2129
 Decatur, AL,3.835483871,40.8301,-84.9281
 Decatur, GA,3.700565291,40.8301,-84.9281
 Decatur, IL,3.892814371,40.8301,-84.9281
 Decatur, MS,3.682352941,40.8301,-84.9281
 Decorah, IA,3.889473684,43.3016,-91.7845
 Deerfield, IL,4.083333333,42.1653,-87.8515
 Defiance, OH,4.064285714,41.281,-84.366
 Del Rio, TX,4.685714286,29.3706,-100.8798
 Delaware, OH,3.813294798,40.2866,-83.0747
 Delhi, NY,3.729268293,28.67,77.23
 Demopolis, AL,3.8,32.498,-87.8298
 Denison, TX,3.947945205,42.016,-95.3528
 Denton, TX,3.715673575,33.2176,-97.1421
 Denver, CO,3.655899198,39.7621,-104.8759
 Derby, DERBYSHIRE,2.233333333,37.5571,-97.2552
 Des Moines, IA,3.716699029,41.5725,-93.6104
 Des Moines, WA,3.743269231,41.5725,-93.6104
 Des Plaines, IL,3.687524366,42.0344,-87.9008
 Detroit, MI,3.727442002,42.3834,-83.1024
 Detroit Lakes, MN,3.15,46.806,-95.845
 Diamond Bar, CA,3.74,33.9992,-117.8161
 Dickinson, ND,3.529032258,46.8918,-102.7925
 Dieppe, NB,5,49.9337,1.0833
 Dillon, MT,3.783333333,34.423,-79.369
 Dixon, IL,3.725531915,41.8437,-89.4786
 Dobbs Ferry, NY,3.7609375,41.0127,-73.8698
 Dodge City, KS,3.895454545,37.761,-100.0182
 Doha, NL,4.266666667,25.2866,51.533
 Dothan, AL,4.016363636,31.2336,-85.4068
 Douglas, AZ,4.163636364,31.3602,-109.5394
 Douglas, GA,3.773214286,31.3602,-109.5394
 Douglasville, GA,3.884615385,33.7384,-84.7074
 Dover, DE,3.827639752,40.5302,-81.4805
 Dover, NH,4.144444444,40.5302,-81.4805
 Dover, NJ,5,40.5302,-81.4805
 Dowagiac, MI,4.003658537,41.9834,-86.1126
 Downers Grove, IL,3.980952381,41.7949,-88.017
 Downingtown, PA,3.8575,40.0076,-75.7019
 Doylestown, PA,3.738461538,40.314,-75.128
