local,state,average_score,lat,lon,fips
 Covington, GA,3.8,39.0334,-84.5166,13217
 Covington, KY,3.897142857,39.0334,-84.5166,21117
 Covington, LA,5,39.0334,-84.5166,22103
 Craig, CO,4.5,40.517,-107.5558,8081
 Crawfordsville, IN,3.775,40.0433,-86.8961,18107
 Cresson, PA,4.035416667,40.4626,-78.5866,42021
 Creston, IA,3.8125,41.0597,-94.365,19175
 Crete, NE,3.747826087,41.4397,-87.6231,31151
 Creve Coeur, MO,3.35,38.6621,-90.443,29189
 Crookston, MN,3.418421053,47.7747,-96.6062,27119
 Crossville, TN,3.941666667,35.9526,-85.0294,47035
 Crown Point, IN,4.275,41.414,-87.3455,18089
 Crystal Lake, IL,3.82751938,42.2334,-88.3352,17111
 Culpeper, VA,3.75,38.4705,-78.0001,51047
 Culver City, CA,3.707349081,34.0058,-118.3968,6037
 Cumberland, KY,4.4,39.6515,-78.7585,21095
 Cumberland, MD,4.029545455,39.6515,-78.7585,24001
 Cumming, GA,3.830434783,34.2066,-84.1337,13117
 Cupertino, CA,3.772793449,37.3168,-122.0465,6085
 Cutler Bay, FL,3,25.5765,-80.3357,12086
 Cypress, CA,3.909537167,33.8171,-118.0386,6059
 Dahlonega, GA,3.728229665,34.5302,-83.9796,13187
 Dallas, NC,3.995070423,44.922,-123.3137,37071
 Dallas, PA,3.77125,44.922,-123.3137,42079
 Dallas, TX,3.825976175,44.922,-123.3137,48113
 Dalton, GA,3.88195122,34.7689,-84.9711,13313
 Danbury, CT,3.703435805,41.4016,-73.471,9001
 Danville, IL,3.741463415,37.642,-84.7769,17183
 Danville, KY,3.7515625,37.642,-84.7769,21021
 Danville, VA,3.989247312,37.642,-84.7769,51590
 Daphne, AL,4.55,30.6291,-87.8872,1003
 Davenport, IA,3.894385965,41.5563,-90.6052,19163
 Davidson, NC,3.860406091,35.4862,-80.8271,37119
 Davie, FL,3.680416667,26.079,-80.287,12011
 Davis, CA,3.696333462,38.5552,-121.7365,6113
 Dayton, OH,3.742865948,39.1127,-84.4639,39113
 Dayton, TN,3.903703704,39.1127,-84.4639,47143
 Daytona Beach, FL,3.880576021,29.1995,-81.0982,12127
 De Pere, WI,3.850793651,44.4313,-88.0793,55009
 De Queen, AR,3.588888889,34.0426,-94.342,5133
 DeKalb, IL,3.700437227,41.9312,-88.7483,17037
 DeLand, FL,3.912195122,29.0226,-81.2875,12127
 Dearborn, MI,3.732614057,42.3127,-83.2129,26163
 Decatur, AL,3.835483871,40.8301,-84.9281,1103
 Decatur, GA,3.700565291,40.8301,-84.9281,13089
 Decatur, IL,3.892814371,40.8301,-84.9281,17115
 Decatur, MS,3.682352941,40.8301,-84.9281,28101
 Decorah, IA,3.889473684,43.3016,-91.7845,19191
 Deerfield, IL,4.083333333,42.1653,-87.8515,17097
 Defiance, OH,4.064285714,41.281,-84.366,39039
 Del Rio, TX,4.685714286,29.3706,-100.8798,48465
 Delaware, OH,3.813294798,40.2866,-83.0747,39041
 Delhi, NY,3.729268293,28.67,77.23,36025
 Demopolis, AL,3.8,32.498,-87.8298,1091
 Denison, TX,3.947945205,42.016,-95.3528,48181
 Denton, TX,3.715673575,33.2176,-97.1421,48121
 Denver, CO,3.655899198,39.7621,-104.8759,8031
 Des Moines, IA,3.716699029,41.5725,-93.6104,19153
 Des Moines, WA,3.743269231,41.5725,-93.6104,53033
 Des Plaines, IL,3.687524366,42.0344,-87.9008,17031
 Detroit, MI,3.727442002,42.3834,-83.1024,26163
 Detroit Lakes, MN,3.15,46.806,-95.845,27005
 Diamond Bar, CA,3.74,33.9992,-117.8161,6037
 Dickinson, ND,3.529032258,46.8918,-102.7925,38089
 Dillon, MT,3.783333333,34.423,-79.369,30001
 Dixon, IL,3.725531915,41.8437,-89.4786,17103
 Dobbs Ferry, NY,3.7609375,41.0127,-73.8698,36119
 Dodge City, KS,3.895454545,37.761,-100.0182,20057
 Dothan, AL,4.016363636,31.2336,-85.4068,1069
 Douglas, AZ,4.163636364,31.3602,-109.5394,4003
 Douglas, GA,3.773214286,31.3602,-109.5394,13069
 Douglasville, GA,3.884615385,33.7384,-84.7074,13097
 Dover, DE,3.827639752,40.5302,-81.4805,10001
 Dover, NH,4.144444444,40.5302,-81.4805,33017
 Dover, NJ,5,40.5302,-81.4805,34027
 Dowagiac, MI,4.003658537,41.9834,-86.1126,26027
 Downers Grove, IL,3.980952381,41.7949,-88.017,17043
 Downingtown, PA,3.8575,40.0076,-75.7019,42029
 Doylestown, PA,3.738461538,40.314,-75.128,42017
 Draper, UT,5,40.4956,-111.8607,49035
 Dryden, NY,3.911309524,49.7833,-92.8333,36109
 Dublin, GA,3,40.1111,-83.1452,13175
 Dublin, NC,4.316666667,40.1111,-83.1452,37017
 Dublin, VA,3.751898734,40.1111,-83.1452,51155
 Dubuque, IA,3.740375587,42.5007,-90.7067,19061
 Duluth, MN,3.598096633,46.7757,-92.1392,27137
 Dunbar, WI,4.466666667,38.3688,-81.7345,55075
 Dunedin, FL,3.281818182,28.0328,-82.7866,12103
 Dunkirk, NY,4.292307692,42.4803,-79.3323,36013
 Dunmore, PA,3.535714286,41.4153,-75.6072,42069
 Dunwoody, GA,3.854166667,33.9418,-84.3122,13089
 Durango, CO,3.83919598,37.2744,-107.8701,8067
