local_name,state_name,average_score,lat,lon
 Dundee, ANGUS,5,56.4704,-3
 Durango, CO,2.2,37.2744,-107.8701
 Durant, OK,4,33.9957,-96.3938
 Durham, NC,4.033333333,35.9797,-78.9037
 Durham, NH,2.833333333,35.9797,-78.9037
 Dyersburg, TN,5,36.0465,-89.3778
 Eagan, MN,1.8,44.817,-93.1638
 East Lansing, MI,2.05,42.748,-84.4835
 East Liverpool, OH,3,40.6333,-80.5677
 East Peoria, IL,3.53,40.6739,-89.5421
 East Stroudsburg, PA,4.3,41.0023,-75.1779
 Easton, PA,4.08,38.776,-76.0702
 Eau Claire, WI,2.683333333,44.8203,-91.4951
 Eden Prairie, MN,3.8,44.8488,-93.4595
 Edinboro, PA,3.8375,41.8762,-80.1246
 Edinburgh, EDINBURGH,4.5,55.9483,-3.2191
 Edmond, OK,4.078947368,35.6689,-97.4159
 Edmonton, AB,3.907894737,53.55,-113.5
 Edwardsville, IL,4.14,38.7924,-89.9876
 El Cajon, CA,3.625,32.8017,-116.9604
 El Paso, TX,3.946666667,31.8479,-106.4309
 Eldorado, KS,3.82,-26.2,-54.6
 Elgin, IL,4,42.0385,-88.3229
 Elizabeth, NJ,4.25,40.6657,-74.1912
 Elizabethtown, KY,4.15,37.703,-85.8772
 Elizabethtown, PA,4.425,37.703,-85.8772
 Elkhorn, NE,3.3,42.6711,-88.5377
 Ellensburg, WA,3.268181818,46.9994,-120.547
 Elmhurst, IL,3.85,41.8973,-87.9432
 Elon, NC,3.888888889,36.101,-79.5081
 Elyria, OH,3.355555556,41.3761,-82.1063
 Emmitsburg, MD,3.7,39.7051,-77.3216
 Emporia, KS,4.533333333,38.4028,-96.1924
 Encinitas, CA,4.5,33.0492,-117.2613
 Enfield, CT,4.4,51.6667,-0.0667
 Erie, PA,3.98,40.041,-105.0393
 Eugene, OR,3.477777778,44.0563,-123.1173
 Eunice, LA,4.1,30.4904,-92.4191
 Eureka, CA,3.8,38.5013,-90.6491
 Evansville, IN,3.883333333,37.9882,-87.5339
 Everett, WA,4.75,42.4064,-71.0545
 Fairbanks, AK,4,64.8353,-147.6533
 Fairfax, VA,3.9,37.9884,-122.595
 Fairfield, CA,4.327272727,39.3301,-84.5405
 Fairfield, CT,3.826315789,39.3301,-84.5405
 Fairfield, ME,3.3,39.3301,-84.5405
 Fairmont, WV,3.6,43.6441,-94.4621
 Fall River, MA,4.55,41.7136,-71.1015
 Falls Church, VA,4,38.8847,-77.1751
 Fargo, ND,4.003703704,46.8653,-96.8292
 Farmingdale, NY,4.7,40.7328,-73.4465
 Farmington, ME,3.8,42.4614,-83.3784
 Farmington Hills, MI,3.322222222,42.486,-83.3771
